https://www.dafiti.com.ar/Zapatilla-Beige-Adidas-MULTIX-W-946716.html | $6639 | ↓67% from min | ↓71%

https://www.dafiti.com.ar/Zapatilla-Negra-DC-Shoes-Trase-Platform-Le-358248.html | $5559 | ↓67% from min | ↓67%

https://www.dafiti.com.ar/Zapatilla-Bordo-Adidas-Originals-Campus-W-354450.html | $10109 | ↓66% from min | ↓66%

https://www.dafiti.com.ar/Zapatilla-Azul-New-Balance-WL574SO2-890285.html | $4799 | ↓66% from min | ↓66%

https://www.dafiti.com.ar/Zapatilla-Gris-Salomon-X-Raise-W-451646.html | $9879 | ↓64% from min | ↓64%

https://www.dafiti.com.ar/Zapatilla-Blanca-Adidas-Originals-Superstar-W-357705.html | $10659 | ↓64% from min | ↓64%

https://www.dafiti.com.ar/Zapatilla--Negra--Salomon--Wings-Access-2-W-395266.html | $10149 | ↓63% from min | ↓63%

https://www.dafiti.com.ar/Zapatilla-Marron-Kevingston-Asher-682039.html | $2789 | ↓62% from min | ↓68%

https://www.dafiti.com.ar/Zapatilla-Gris-Fila-F-Eternity-W-368436.html | $5999 | ↓62% from min | ↓62%

https://www.dafiti.com.ar/Zapatilla-Negra-Fila-F-SLIM-W-365178.html | $5999 | ↓62% from min | ↓62%

https://www.dafiti.com.ar/Zapatilla-Negra-Puma-Cilia-Mode-482028.html | $6829 | ↓62% from min | ↓62%

https://www.dafiti.com.ar/Pancha-Animal-Print-DC-Shoes-Trase-Slip-On-Sp-231648.html | $6789 | ↓60% from min | ↓60%

https://www.dafiti.com.ar/Zapatilla-Negra-Puma-Smash-V2-ADP-321137.html | $7459 | ↓58% from min | ↓58%

https://www.dafiti.com.ar/Zapatilla-Blanca-New-Balance-247-Decon-394554.html | $7119 | ↓58% from min | ↓58%

https://www.dafiti.com.ar/Zapatilla--Bordo-Puma-Incite-Fs-Wns-402191.html | $5599 | ↓58% from min | ↓58%

https://www.dafiti.com.ar/Zapato-Marron-Stork-Man-Shiro-933017.html | $9969 | ↓57% from min | ↓57%

https://www.dafiti.com.ar/Zapatilla-Blanca-DC-Shoes-Evan-Hi-Le-350722.html | $7199 | ↓57% from min | ↓57%

https://www.dafiti.com.ar/Zapatilla-Suela-Stork-Man-Wayi-926537.html | $3729 | ↓56% from min | ↓77%

https://www.dafiti.com.ar/Zapatilla-Negro-Fila-Move-Control-175744.html | $7119 | ↓56% from min | ↓56%

https://www.dafiti.com.ar/Zapatilla-Blanca-Jaguar-808792.html | $2789 | ↓55% from min | ↓55%

https://www.dafiti.com.ar/Zapatilla-Gris-Fila-F-Sync-W-427577.html | $7199 | ↓55% from min | ↓55%

https://www.dafiti.com.ar/Zapatilla-Blanca-Puma-Smash-Wns-V2-L-Adp-909462.html | $4249 | ↓55% from min | ↓72%

https://www.dafiti.com.ar/Zapato-Marron-Stork-Man-Leopoldo-933013.html | $10729 | ↓54% from min | ↓54%

https://www.dafiti.com.ar/Zapatilla-Blanca-Adidas-Or-FORUM-MID-946965.html | $15039 | ↓54% from min | ↓57%

https://www.dafiti.com.ar/Zapatilla-Azul-Stork-Man-Macaro-944985.html | $4799 | ↓54% from min | ↓68%

https://www.dafiti.com.ar/Zapatilla-Aqua-Adidas-Originals-3MC-338883.html | $13769 | ↓54% from min | ↓54%

https://www.dafiti.com.ar/Zapatilla-Azul-Diadora-Titan-Ii-374970.html | $7649 | ↓53% from min | ↓53%

https://www.dafiti.com.ar/Zapatilla-Bordo-Reef-Byron-Bay-916171.html | $3689 | ↓52% from min | ↓55%

https://www.dafiti.com.ar/Zapatilla-Negra-Diadora-Fano-946216.html | $4799 | ↓52% from min | ↓65%

https://www.dafiti.com.ar/Zapatilla-Negra-DC-Shoes-Midway-Sn-Vn-Bl0-417696.html | $8049 | ↓52% from min | ↓52%

https://www.dafiti.com.ar/Zapatilla-Rosa-Adidas-Originals-Sambarose-326257.html | $14779 | ↓51% from min | ↓51%

